DATE,TIME,CLASS,
"Jan 12, 2023",6:30 pm,Yin Yoga - Srishti Sharma,
"Jan 11, 2023",6:30 pm,Dynamic Vinyasa - Srishti Sharma,
"Jan 10, 2023",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Jan 5, 2023",6:30 pm,Yin Yoga - Srishti Sharma,
"Jan 2, 2023",6:30 pm,Yoga Alignment - Srishti Sharma,
"Dec 27, 2022",5:15 pm,Yoga-Strong - Lifestyle Yoga,
"Dec 26, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Dec 21, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Dec 19, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Dec 16, 2022",5:15 pm,Yin Yoga - Lifestyle Yoga,
"Dec 15, 2022",6:30 pm,Spine Healing - Lifestyle Yoga,
"Dec 14, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Dec 8, 2022",6:00 pm,Full moon yin yoga and ashtanga philosophy virtual - Lifestyle Yoga,
"Dec 5, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Dec 1, 2022",6:30 pm,Spine Healing - Lifestyle Yoga,
"Nov 30, 2022",6:30 pm,Music Beat Power Yoga - Srishti Sharma,
"Nov 18, 2022",5:30 pm,Yoga-Tox - Srishti Sharma,
"Nov 17, 2022",6:30 pm,Beginner Yoga - Lifestyle Yoga,
"Nov 16, 2022",6:30 pm,Music Beat Power Yoga - Srishti Sharma,
"Nov 15, 2022",9:30 am,Mobility Yoga - Lifestyle Yoga,
"Nov 9, 2022",6:30 pm,Spine Healing - Sumit Manav,
"Nov 8, 2022",6:00 pm,Full moon yin yoga and ashtanga philosophy virtual - Lifestyle Yoga,
"Nov 7, 2022",6:30 pm,Classical Hatha Yoga - Srishti Sharma,
"Nov 4, 2022",6:30 pm,Yoga-Tox - Srishti Sharma,
"Nov 2, 2022",6:30 pm,Music Beat Power Yoga - Srishti Sharma,
"Nov 1, 2022",6:30 pm,Spine Healing - Lifestyle Yoga,
"Oct 31, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 28, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 26, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 20, 2022",9:30 am,Yoga-Tox - Lifestyle Yoga,
"Oct 19, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 18, 2022",6:30 pm,Spine Healing - Lifestyle Yoga,
"Oct 17, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 14, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 13, 2022",9:30 am,Yoga-Tox - Lifestyle Yoga,
"Oct 12, 2022",9:30 am,31-Day's Yoga Intensified (Virtual) - Tanu Dhawan,
"Oct 11, 2022",6:30 pm,Spine Healing - Lifestyle Yoga,
"Oct 10, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 7, 2022",9:30 am,31-Day's Yoga Intensified (Virtual) - Tanu Dhawan,
"Oct 6, 2022",9:30 am,Yoga-Tox - Lifestyle Yoga,
"Oct 5, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Oct 4, 2022",9:30 am,Mobility Yoga - Lifestyle Yoga,
"Oct 3, 2022",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Sep 27, 2022",9:30 am,Dynamic Vinyasa - Tanu Dhawan,
"Sep 23, 2022",6:30 pm,6 Days yoga and chakra awakening course - Srishti Sharma,
"Sep 22, 2022",6:30 pm,6 Days yoga and chakra awakening course - Srishti Sharma,
"Sep 21, 2022",9:30 am,Mobility Yoga - Sumit Manav,
"Sep 20, 2022",9:30 am,Dynamic Vinyasa - Tanu Dhawan,
"Sep 18, 2022",6:30 pm,Yoga-Tox - Tanu Dhawan,
"Sep 16, 2022",6:30 pm,Yoga-Strong - Srishti Sharma,
"Sep 15, 2022",9:30 am,Music Beat Power Yoga - Tanu Dhawan,
"Sep 14, 2022",9:30 am,Mobility Yoga - Sumit Manav,
"Sep 13, 2022",9:30 am,Dynamic Vinyasa - Tanu Dhawan,MARKED LATE CANCEL
"Sep 11, 2022",9:30 am,Yoga-Strong - Tanu Dhawan,
"Sep 9, 2022",6:00 pm,Full Moon Yoga Sadhana - Srishti Sharma,
"Sep 8, 2022",6:30 pm,Flexi flow - Srishti Sharma,
"Sep 7, 2022",6:30 pm,Yin Yoga - Srishti Sharma,
"Sep 6, 2022",6:30 pm,Music Beat Power Yoga - Tanu Dhawan,
"Sep 5, 2022",6:30 pm,Suksham Yoga - Srishti Sharma,
"Sep 4, 2022",6:30 pm,Yoga-Tox - Tanu Dhawan,
"Sep 2, 2022",9:30 am,Flexi flow - Tanu Dhawan,
"Sep 1, 2022",6:30 pm,Flexi flow - Srishti Sharma,
"Aug 31, 2022",6:30 pm,Dynamic Vinyasa - Srishti Sharma,
"Aug 30, 2022",6:30 pm,Yoga-Strong - Tanu Dhawan,
"Aug 28, 2022",6:30 pm,Yoga-Tox - Srishti Sharma,
"Aug 26, 2022",9:30 am,Dynamic Vinyasa - Tanu Dhawan,
"Aug 25, 2022",6:30 pm,Spine Healing - Tanu Dhawan,
"Aug 24, 2022",9:30 am,Music Beat Power Yoga - Tanu Dhawan,
"Aug 23, 2022",6:30 pm,Yoga-Strong - Tanu Dhawan,
"Aug 22, 2022",6:30 pm,Mobility Yoga - Srishti Sharma,
"Aug 21, 2022",11:00 am,Backbend workshop and chakra meditation virtual - Srishti Sharma,
"Aug 18, 2022",6:30 pm,Spine Healing - Tanu Dhawan,
"Aug 18, 2022",9:30 am,Yoga-Tox - Tanu Dhawan,
"Aug 17, 2022",6:30 pm,Dynamic Vinyasa - Srishti Sharma,
"Aug 15, 2022",6:30 pm,Mobility Yoga - Srishti Sharma,
"Aug 12, 2022",9:30 am,Dynamic Vinyasa - Tanu Dhawan,
"Aug 11, 2022",6:00 pm,Full Moon Yoga Sadhana - Tanu Dhawan,
"Aug 11, 2022",9:30 am,Yoga-Tox - Tanu Dhawan,
"Aug 10, 2022",6:30 pm,Dynamic Vinyasa - Srishti Sharma,
"Aug 10, 2022",9:30 am,Music Beat Power Yoga - Tanu Dhawan,
"Aug 9, 2022",6:30 pm,Yoga-Strong - Tanu Dhawan,
"Aug 8, 2022",6:30 pm,Mobility Yoga - Srishti Sharma,
"Aug 5, 2022",9:30 am,Dynamic Vinyasa - Tanu Dhawan,
"Aug 4, 2022",6:30 pm,Spine Healing - Tanu Dhawan,
"Aug 4, 2022",9:30 am,Yoga-Tox - Tanu Dhawan,
"Aug 3, 2022",6:30 pm,Dynamic Vinyasa - Srishti Sharma,
"Aug 2, 2022",6:30 pm,Yoga-Strong - Tanu Dhawan,
"Aug 1, 2022",6:30 pm,Mobility Yoga - Srishti Sharma,
"Jul 29, 2022",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Jul 27, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Jul 26, 2022",9:30 am,Yoga-Strong - Lifestyle Yoga,
"Jul 22, 2022",6:30 pm,6 Days yoga and chakra awakening course - Lifestyle Yoga,
"Jul 22, 2022",9:30 am,6 Days yoga and chakra awakening course - Lifestyle Yoga,
"Jul 21, 2022",6:30 pm,6 Days yoga and chakra awakening course - Lifestyle Yoga,
"Jul 21, 2022",9:30 am,6 Days yoga and chakra awakening course - Lifestyle Yoga,
"Jul 20, 2022",6:30 pm,6 Days yoga and chakra awakening course - Lifestyle Yoga,
"Jul 19, 2022",6:30 pm,6 Days yoga and chakra awakening course - Lifestyle Yoga,
"Jul 18, 2022",6:30 pm,6 Days yoga and chakra awakening course - Lifestyle Yoga,
"Jul 14, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Jul 12, 2022",6:30 pm,Music Beat Power Yoga - Lifestyle Yoga,
"Jul 11, 2022",6:30 pm,Yoga Alignment - Lifestyle Yoga,
"Jul 10, 2022",6:30 pm,Yoga-Strong - Lifestyle Yoga,
"Jul 8, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Jul 7, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Jul 6, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Jul 4, 2022",6:30 pm,Yoga Alignment - Lifestyle Yoga,
"Jul 3, 2022",6:30 pm,Yoga-Strong - Lifestyle Yoga,
"Jun 24, 2022",6:30 pm,Classical Hatha Yoga - Shivam Bhardwaj,
"Jun 21, 2022",6:30 pm,International Yoga Day - Sumit Manav,
"Jun 20, 2022",6:30 pm,Music Beat Power Yoga - Lifestyle Yoga,
"Jun 19, 2022",6:30 pm,Yoga Alignment - Lifestyle Yoga,
"Jun 17, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Jun 15, 2022",6:30 pm,Full Moon Yoga Sadhana - Lifestyle Yoga,
"Jun 14, 2022",6:30 pm,Suksham Yoga - Lifestyle Yoga,
"Jun 13, 2022",6:30 pm,Music Beat Power Yoga - Lifestyle Yoga,
"Jun 12, 2022",6:30 pm,Yoga Alignment - Lifestyle Yoga,
"Jun 9, 2022",6:30 pm,Flexi flow - Lifestyle Yoga,
"Jun 5, 2022",6:30 pm,Yoga Alignment - Lifestyle Yoga,
"Jun 1, 2022",9:30 am,Yoga Alignment - Sumit Manav,
