Date,Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #
19/12/2018,Wednesday,5:30ÊPM,Ilkka,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800
17/12/2018,Monday,5:15ÊPM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800
13/12/2018,Thursday,4:30ÊPM,Eva,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Vinyasa Flow (60),Signed in,No,446800
12/12/2018,Wednesday,4:15ÊPM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800
11/12/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800
10/12/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800
08/12/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates (60),Signed in,No,446800
06/12/2018,Thursday,4:30ÊPM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Vinyasa Flow (60),Signed in,No,446800
05/12/2018,Wednesday,4:15ÊPM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800
04/12/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800
03/12/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800
02/12/2018,Sunday,4:00ÊPM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800
29/11/2018,Thursday,4:30ÊPM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Vinyasa Flow (60),Signed in,No,446800
28/11/2018,Wednesday,4:15ÊPM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800
27/11/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800
26/11/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800
24/11/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates (60),Signed in,No,446800
22/11/2018,Thursday,4:30ÊPM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Vinyasa Flow (60),Signed in,No,446800
21/11/2018,Wednesday,4:15ÊPM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800
